nome,cpf,e-mail,telephone,address,necessity
Miguel,11111111111,Miguel@gmail.com,4899993333,rua blabla ,comida 
Arthur,11111111112,arthur@gmail.com,4899993334,rua bleble,dinheiro 
Heitor,11111111113,heitor@gmail.com,4899993335,rua bloblo ,roupa 
Helena,11111111114,helena@gmail.com,4899993336,rua dos limoeiros ,higiene 
Alice,11111111115,alice@gmail.com,4899993337,rua das ameixas ,comida 
Theo,11111111116,theo@gmail.com,4899993338,rua das samambaias,dinheiro 
Davi,11111111117,davi@gmail.com,4899993339,rua do sol ,roupa 
Laura,11111111118,laura@gmail.com,4899993340,rua do gato ,higiene 
Gabriel,11111111119,gabriel@gmail.com,4899993341,rua da esquina ,comida 
Gael,11111111120,gael@gmail.com,4899993342,rua chuvosa,dinheiro 
Bernardo,11111111121,bernardo@gmail.com,4899993343,rua Pequeno principe,roupa 
Samuel,11111111122,samuel@gmail.com,4899993344,rua blabla ,higiene 
Valentina,11111111123,valentina@gmail.com,4899993345,rua bleble,comida 
João Miguel,11111111124,jmiguel@gmail.com,4899993346,rua bloblo ,dinheiro 
Enzo Gabriel,11111111125,enzog@gmail.com,4899993347,rua dos limoeiros ,roupa 
Heloísa,11111111126,heloisa@gmail.com,4899993348,rua das ameixas ,higiene 
Pedro,11111111127,pedro@gmail.com,4899993349,rua das samambaias,
Lorenzo,11111111128,lorenzo@gmail.com,4899993350,rua do sol ,comida 
Sophia,11111111129,sophia@gmail.com,4899993351,rua do gato ,dinheiro 
Maria Clara,11111111130,mc@gmail.com,4899993352,rua da esquina ,roupa 
Maria Júlia,11111111131,mj@gmail.com,4899993353,rua chuvosa,higiene 
Maria Eduarda,11111111132,mduda@gmail.com,4899993354,rua Pequeno principe,comida 
Lorena,11111111133,lorena@gmail.com,4899993355,rua blabla ,dinheiro 
Lucas,11111111134,lucas@gmail.com,4899993356,rua bleble,roupa 
Manuela,11111111135,manuela@gmail.com,4899993357,rua bloblo ,higiene 
Cecília,11111111136,cecilia@gmail.com,4899993358,rua dos limoeiros ,comida 
Maria Cecília:,11111111137,mcelilia@gmail.com,4899993359,rua das ameixas ,dinheiro 
Benício,11111111138,benicio@gmail.com,4899993360,rua das samambaias,roupa 
Júlia,11111111139,julia@gmail.com,4899993361,rua do sol ,higiene 
Isabella,11111111140,isabella@gmail.com,4899993362,rua do gato ,comida 
